;data;Salário mínimo vigente;ano;mês;variação
252;1961.07;3,4909e-12;1961;07;0,0
253;1961.08;3,4909e-12;1961;08;0,0
254;1961.09;3,4909e-12;1961;09;0,0
255;1961.10;4,8873e-12;1961;10;0,40001145836317287
256;1961.11;4,8873e-12;1961;11;0,0
257;1961.12;4,8873e-12;1961;12;0,0
258;1962.01;4,8873e-12;1962;01;0,0
259;1962.02;4,8873e-12;1962;02;0,0
260;1962.03;4,8873e-12;1962;03;0,0
261;1962.04;4,8873e-12;1962;04;0,0
262;1962.05;4,8873e-12;1962;05;0,0
263;1962.06;4,8873e-12;1962;06;0,0
264;1962.07;4,8873e-12;1962;07;0,0
265;1962.08;4,8873e-12;1962;08;0,0
266;1962.09;4,8873e-12;1962;09;0,0
267;1962.10;4,8873e-12;1962;10;0,0
268;1962.11;4,8873e-12;1962;11;0,0
269;1962.12;4,8873e-12;1962;12;0,0
270;1963.01;7,6364e-12;1963;01;0,562498721175291
271;1963.02;7,6364e-12;1963;02;0,0
272;1963.03;7,6364e-12;1963;03;0,0
273;1963.04;7,6364e-12;1963;04;0,0
274;1963.05;7,6364e-12;1963;05;0,0
275;1963.06;7,6364e-12;1963;06;0,0
276;1963.07;7,6364e-12;1963;07;0,0
277;1963.08;7,6364e-12;1963;08;0,0
278;1963.09;7,6364e-12;1963;09;0,0
279;1963.10;7,6364e-12;1963;10;0,0
280;1963.11;7,6364e-12;1963;11;0,0
281;1963.12;7,6364e-12;1963;12;0,0
282;1964.01;7,6364e-12;1964;01;0,0
283;1964.02;1,5273e-11;1964;02;1,0000261903514742
284;1964.03;1,5273e-11;1964;03;0,0
285;1964.04;1,5273e-11;1964;04;0,0
286;1964.05;1,5273e-11;1964;05;0,0
287;1964.06;1,5273e-11;1964;06;0,0
288;1964.07;1,5273e-11;1964;07;0,0
289;1964.08;1,5273e-11;1964;08;0,0
290;1964.09;1,5273e-11;1964;09;0,0
291;1964.10;1,5273e-11;1964;10;0,0
292;1964.11;1,5273e-11;1964;11;0,0
293;1964.12;1,5273e-11;1964;12;0,0
294;1965.01;1,5273e-11;1965;01;0,0
295;1965.02;1,5273e-11;1965;02;0,0
296;1965.03;2,4e-11;1965;03;0,5714005107051661
297;1965.04;2,4e-11;1965;04;0,0
298;1965.05;2,4e-11;1965;05;0,0
299;1965.06;2,4e-11;1965;06;0,0
300;1965.07;2,4e-11;1965;07;0,0
301;1965.08;2,4e-11;1965;08;0,0
302;1965.09;2,4e-11;1965;09;0,0
303;1965.10;2,4e-11;1965;10;0,0
304;1965.11;2,4e-11;1965;11;0,0
305;1965.12;2,4e-11;1965;12;0,0
306;1966.01;2,4e-11;1966;01;0,0
307;1966.02;2,4e-11;1966;02;0,0
308;1966.03;3,0545e-11;1966;03;0,27270833333333333
309;1966.04;3,0545e-11;1966;04;0,0
310;1966.05;3,0545e-11;1966;05;0,0
311;1966.06;3,0545e-11;1966;06;0,0
312;1966.07;3,0545e-11;1966;07;0,0
313;1966.08;3,0545e-11;1966;08;0,0
314;1966.09;3,0545e-11;1966;09;0,0
315;1966.10;3,0545e-11;1966;10;0,0
316;1966.11;3,0545e-11;1966;11;0,0
317;1966.12;3,0545e-11;1966;12;0,0
318;1967.01;3,0545e-11;1967;01;0,0
319;1967.02;3,0545e-11;1967;02;0,0
320;1967.03;3,8182e-11;1967;03;0,25002455393681444
321;1967.04;3,8182e-11;1967;04;0,0
322;1967.05;3,8182e-11;1967;05;0,0
323;1967.06;3,8182e-11;1967;06;0,0
324;1967.07;3,8182e-11;1967;07;0,0
325;1967.08;3,8182e-11;1967;08;0,0
326;1967.09;3,8182e-11;1967;09;0,0
327;1967.10;3,8182e-11;1967;10;0,0
328;1967.11;3,8182e-11;1967;11;0,0
329;1967.12;3,8182e-11;1967;12;0,0
330;1968.01;3,8182e-11;1968;01;0,0
331;1968.02;3,8182e-11;1968;02;0,0
332;1968.03;4,7127e-11;1968;03;0,23427269393955275
333;1968.04;4,7127e-11;1968;04;0,0
334;1968.05;4,7127e-11;1968;05;0,0
335;1968.06;4,7127e-11;1968;06;0,0
336;1968.07;4,7127e-11;1968;07;0,0
337;1968.08;4,7127e-11;1968;08;0,0
338;1968.09;4,7127e-11;1968;09;0,0
339;1968.10;4,7127e-11;1968;10;0,0
340;1968.11;4,7127e-11;1968;11;0,0
341;1968.12;4,7127e-11;1968;12;0,0
342;1969.01;4,7127e-11;1969;01;0,0
343;1969.02;4,7127e-11;1969;02;0,0
344;1969.03;4,7127e-11;1969;03;0,0
345;1969.04;4,7127e-11;1969;04;0,0
346;1969.05;5,6727e-11;1969;05;0,20370488255140362
347;1969.06;5,6727e-11;1969;06;0,0
348;1969.07;5,6727e-11;1969;07;0,0
349;1969.08;5,6727e-11;1969;08;0,0
