;data;IBOVESPA fechamento mensal;ano;mês;variação
368;1998.10;6,8861;1998;10;2,683194266153188
369;1998.11;22,4777;1998;11;2,264213415431086
370;1998.12;-21,3996;1998;12;-1,9520369076907336
371;1999.01;20,4452;1999;01;-1,9554010355333746
372;1999.02;9,0442;1999;02;-0,5576370003717254
373;1999.03;20,0449;1999;03;1,2163264854824085
374;1999.04;6,1144;1999;04;-0,6949648040149863
375;1999.05;-2,2996;1999;05;-1,376095773910768
376;1999.06;4,8426;1999;06;-3,1058444946947295
377;1999.07;-10,1927;1999;07;-3,1047990748771324
378;1999.08;1,178;1999;08;-1,1155729100238405
379;1999.09;5,1306;1999;09;3,355348047538201
380;1999.10;5,3485;1999;10;0,042470666198884954
381;1999.11;17,7607;1999;11;2,3206880433766477
382;1999.12;24,0456;1999;12;0,35386555710079004
383;2000.01;-4,1133;2000;01;-1,1710624812855575
384;2000.02;7,7618;2000;02;-2,8870007050300246
385;2000.03;0,906;2000;03;-0,8832744981834111
386;2000.04;-12,8114;2000;04;-15,140618101545254
387;2000.05;-3,7395;2000;05;-0,708111525672448
388;2000.06;11,8414;2000;06;-4,166573071266212
389;2000.07;-1,6321;2000;07;-1,1378299863191852
390;2000.08;5,4212;2000;08;-4,32161019545371
391;2000.09;-8,1748;2000;09;-2,507931823212573
392;2000.10;-6,6612;2000;10;-0,18515437686548897
393;2000.11;-10,6276;2000;11;0,595448267579415
394;2000.12;14,8416;2000;12;-2,396514735217735
395;2001.01;15,8136;2001;01;0,06549159120310466
396;2001.02;-10,0781;2001;02;-1,6373058633075326
397;2001.03;-9,1435;2001;03;-0,09273573391809964
398;2001.04;3,3176;2001;04;-1,3628369880242794
399;2001.05;-1,7966;2001;05;-1,54153605015674
400;2001.06;-0,6144;2001;06;-0,6580207057775799
401;2001.07;-5,5292;2001;07;7,999348958333334
402;2001.08;-6,6453;2001;08;0,20185560298053962
403;2001.09;-17,1729;2001;09;1,5842174168209109
404;2001.10;6,8547;2001;10;-1,3991579756476775
405;2001.11;13,7892;2001;11;1,0116416473368637
406;2001.12;4,9957;2001;12;-0,6377092217097438
407;2002.01;-6,3048;2002;01;-2,2620453590087477
408;2002.02;10,3137;2002;02;-2,63584887704606
409;2002.03;-5,5512;2002;03;-1,5382355507722738
410;2002.04;-1,2751;2002;04;-0,7703019167026949
411;2002.05;-1,7119;2002;05;0,3425613677358639
412;2002.06;-13,3893;2002;06;6,821309655937847
413;2002.07;-12,362;2002;07;-0,07672544494484401
414;2002.08;6,3512;2002;08;-1,513767998705711
415;2002.09;-16,9524;2002;09;-3,6691648822269807
416;2002.10;17,9193;2002;10;-2,05703617186947
417;2002.11;3,354;2002;11;-0,812827510003181
418;2002.12;7,2326;2002;12;1,1564102564102563
419;2003.01;-2,902;2003;01;-1,4012388352736223
420;2003.02;-6,0415;2003;02;1,08184011026878
421;2003.03;9,6595;2003;03;-2,5988578995282627
422;2003.04;11,3812;2003;04;0,17823903928774776
423;2003.05;6,8891;2003;05;-0,39469475977928514
424;2003.06;-3,3455;2003;06;-1,4856222148030946
425;2003.07;4,6176;2003;07;-2,3802421162755945
426;2003.08;11,812;2003;08;1,5580388080388077
427;2003.09;5,5094;2003;09;-0,5335760243819844
428;2003.10;12,3173;2003;10;1,2356880967074453
429;2003.11;12,24;2003;11;-0,0062757260113822655
430;2003.12;10,1719;2003;12;-0,1689624183006535
431;2004.01;-1,7314;2004;01;-1,1702140209793648
432;2004.02;-0,4393;2004;02;-0,7462746910015017
433;2004.03;1,7789;2004;03;-5,049396767584794
434;2004.04;-11,4488;2004;04;-7,435887346112767
435;2004.05;-0,3213;2004;05;-0,9719359234155545
436;2004.06;8,2071;2004;06;-26,543417366946784
437;2004.07;5,6176;2004;07;-0,3155194892227462
438;2004.08;2,0908;2004;08;-0,6278125890059811
439;2004.09;1,9383;2004;09;-0,07293858810024889
440;2004.10;-0,8303;2004;10;-1,4283650621678792
441;2004.11;9,0057;2004;11;-11,846320607009513
442;2004.12;4,2502;2004;12;-0,5280544544011014
443;2005.01;-8,5051;2005;01;-3,0011058303138674
444;2005.02;17,4024;2005;02;-3,046113508365569
445;2005.03;-5,4337;2005;03;-1,312238541810325
446;2005.04;-6,6404;2005;04;0,22207703774591891
447;2005.05;1,4652;2005;05;-1,2206493584723812
448;2005.06;-0,6189;2005;06;-1,4223996723996724
449;2005.07;3,9559;2005;07;-7,391824204233317
450;2005.08;7,6876;2005;08;0,9433251598877623
451;2005.09;12,6195;2005;09;0,6415396222488163
452;2005.10;-4,4011;2005;10;-1,348753912595586
453;2005.11;5,7066;2005;11;-2,296630387857581
454;2005.12;4,822;2005;12;-0,1550134931482844
455;2006.01;14,7272;2006;01;2,0541683948569056
456;2006.02;0,594;2006;02;-0,9596664674887283
457;2006.03;-1,7068;2006;03;-3,8734006734006736
458;2006.04;6,3556;2006;04;-4,723693461448324
459;2006.05;-9,4963;2006;05;-2,4941626282333687
460;2006.06;0,2737;2006;06;-1,0288217516295821
461;2006.07;1,2203;2006;07;3,458531238582389
462;2006.08;-2,27;2006;08;-2,8601983118905188
463;2006.09;0,59;2006;09;-1,2599118942731278
464;2006.10;7,71;2006;10;12,067796610169491
465;2006.11;6,79;2006;11;-0,11932555123216604
466;2006.12;6,06;2006;12;-0,10751104565537561
467;2007.01;0,38;2007;01;-0,9372937293729373
468;2007.02;-1,67;2007;02;-5,394736842105263
469;2007.03;4,35;2007;03;-3,6047904191616764
470;2007.04;6,88;2007;04;0,581609195402299
471;2007.05;6,76;2007;05;-0,01744186046511631
472;2007.06;4,06;2007;06;-0,3994082840236687
473;2007.07;-0,38;2007;07;-1,0935960591133005
474;2007.08;0,83;2007;08;-3,1842105263157894
